,movie,year,imdb,metascore,votes
0,Don't Look Up,2021,7.3,50,286813
1,Spider-Man: No Way Home,2021,8.8,71,355694
2,The Matrix Resurrections,2021,5.7,63,142239
3,Encanto,2021,7.3,76,68618
4,The King's Man,2021,6.8,44,12655
5,Licorice Pizza,2021,8.1,89,9746
6,The Power of the Dog,2021,7.0,89,64269
7,Sing 2,2021,7.6,49,7160
8,The Unforgivable,2021,7.2,41,71190
9,No Time to Die,2021,7.4,68,274372
10,Being the Ricardos,2021,6.6,60,17119
11,Dune: Part One,2021,8.2,74,429705
12,West Side Story,2021,7.8,85,22454
13,The Lost Daughter,2021,6.8,86,17059
14,The Last Duel,2021,7.4,67,80463
15,"tick, tick...BOOM!",2021,7.6,74,47770
16,Resident Evil: Welcome to Raccoon City,2021,5.2,44,25765
17,The French Dispatch,2021,7.4,74,59662
18,The Suicide Squad,2021,7.2,72,277752
19,Nightmare Alley,2021,7.4,69,6541
20,Shang-Chi and the Legend of the Ten Rings,2021,7.5,71,281227
21,Venom: Let There Be Carnage,2021,6.0,48,148496
22,House of Gucci,2021,6.9,59,44106
23,Red Notice,2021,6.4,37,205185
24,Ghostbusters: Afterlife,2021,7.5,45,62487
25,American Underdog,2021,7.5,53,1612
26,Free Guy,2021,7.2,62,251776
27,Red Rocket,2021,7.5,75,4180
